stats,times,highscore,draw,win,loses,last_scores
sudoku,47,2.568913459777832,0,29,0,"[4.55159592628479, 5.846980333328247, 15.238658428192139, 7.99982476234436, 5.837175607681274]"
ttt,55,0.0,5,9,9,"[0,0,0,0,0]"
memory,21,18.90564465522766,0,10,0,"[18.90564465522766, 26.2717387676239, 26.761085987091064, 24.26520872116089, 27.812049388885498]"
battleship,20,15.0,0,9,4,"[3, -1, -10, -7, 4]"
