stats,times,highscore,draw,win,loses,last_scores
sudoku,45,2.568913459777832,0,28,0,"[3.4333436489105225, 4.55159592628479, 5.846980333328247, 15.238658428192139, 7.99982476234436]"
ttt,53,0.0,4,8,9,"[0,0,0,0,0]"
memory,19,18.90564465522766,0,9,0,"[0, 18.90564465522766, 26.2717387676239, 26.761085987091064, 24.26520872116089]"
